"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"717","Leucoraja erinaceus","Little skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"718","Leucoraja garmani","Rosette skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"719","Leucoraja ocellata","Winter skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"720","Limulus polyphemus","Horseshoe crab","Northeast","Xiphosura (horseshoe crabs)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"721","Lithodes maja","Norway king crab","Northeast",NA,NA,NA,NA,"Not for IDW"
"722","Lophius americanus","Monkfish","Northeast","Lophiiformes (Anglerfishes)","US East Coast","MAFMC","Monkfish","NMFS/Rutgers IDW Interpolation"
"723","Lophius americanus","Monkfish","Northeast","Lophiiformes (Anglerfishes)","US East Coast","NEFMC","Monkfish","NMFS/Rutgers IDW Interpolation"
"724","Malacoraja senta","Smooth skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"725","Maurolicus weitzmani","Atlantic pearlside","Northeast",NA,NA,NA,NA,"Not for IDW"
"726","Melanogrammus aeglefinus","Haddock","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"727","Menticirrhus americanus","Southern kingfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"728","Menticirrhus saxatilis","Northern kingfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"729","Merluccius albidus","Offshore hake","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"730","Merluccius bilinearis","Silver hake","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"731","Micropogonias undulatus","Atlantic croaker","Northeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"732","Mustelus canis","Smooth dogfish","Northeast","Elasmobranchi:Selachi (sharks)","US East Coast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","NMFS/Rutgers IDW Interpolation"
"733","Myliobatis freminvillei","Bullnose eagle ray","Northeast",NA,NA,NA,NA,"Not for IDW"
"734","Myoxocephalus octodecemspinosus","Longhorn sculpin","Northeast","Perciformes/Cottoidei (sculpins)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"735","Myxine glutinosa","Atlantic hagfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"736","Myzopsetta ferruginea","Yellowtail flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"737","Opisthonema oglinum","Atlantic thread herring","Northeast",NA,NA,NA,NA,"Not for IDW"
"738","Ovalipes ocellatus","Ocellate lady crab","Northeast",NA,NA,NA,NA,"Not for IDW"
"739","Ovalipes stephensoni","Coarsehand lady crab","Northeast",NA,NA,NA,NA,"Not for IDW"
"740","Pandalus borealis","Atlantic northern shrimp","Northeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"741","Pandalus montagui","Aesop shrimp","Northeast",NA,NA,NA,NA,"Not for IDW"
"742","Paralichthys dentatus","Summer flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","ASMFC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"743","Paralichthys dentatus","Summer flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"744","Pasiphaea multidentata","Pink glass shrimp","Northeast",NA,NA,NA,NA,"Not for IDW"
"745","Peprilus triacanthus","American butterfish","Northeast","Scombriformes (Mackerels)","US East Coast","MAFMC","Mackerel, Squid and Butterfish","NMFS/Rutgers IDW Interpolation"
"746","Peristedion miniatum","Armored searobin","Northeast",NA,NA,NA,NA,"Not for IDW"
"747","Phycis chesteri","Longfin hake","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"748","Placopecten magellanicus","Atlantic sea scallop","Northeast","Bivalvia (clams, muscles, oyster, arks, etc)","US East Coast","NEFMC","Atlantic Sea Scallop","NMFS/Rutgers IDW Interpolation"
"749","Pollachius virens","Pollock","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"750","Polymixia lowei","Beardfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"751","Pomatomus saltatrix","Bluefish","Northeast","Scombriformes (Mackerels)","US East Coast","ASMFC","Bluefish","NMFS/Rutgers IDW Interpolation"
"752","Pomatomus saltatrix","Bluefish","Northeast","Scombriformes (Mackerels)","US East Coast","MAFMC","Bluefish","NMFS/Rutgers IDW Interpolation"
"753","Pontophilus norvegicus","Norwegian shrimp","Northeast",NA,NA,NA,NA,"Not for IDW"
"754","Prionotus carolinus","Northern searobin","Northeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"755","Prionotus evolans","Striped searobin","Northeast",NA,NA,NA,NA,"Not for IDW"
"756","Pseudopleuronectes americanus","Winter flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","ASMFC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"757","Pseudopleuronectes americanus","Winter flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"758","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Northeast","Elasmobranchi:Selachi (sharks)","US East Coast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","NMFS/Rutgers IDW Interpolation"
"759","Rostroraja eglanteria","Clearnose skate","Northeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","NEFMC","Northeast Skate Complex","NMFS/Rutgers IDW Interpolation"
"760","Sardinella aurita","Spanish sardine","Northeast",NA,NA,NA,NA,"Not for IDW"
"761","Scomber scombrus","Atlantic mackerel","Northeast","Scombriformes (Mackerels)","US East Coast","MAFMC","Mackerel, Squid and Butterfish","NMFS/Rutgers IDW Interpolation"
"762","Scomberesox saurus","Atlantic saury","Northeast",NA,NA,NA,NA,"Not for IDW"
"763","Scomberomorus maculatus","Spanish mackerel","Northeast",NA,NA,NA,NA,"Not for IDW"
"764","Scophthalmus aquosus","Windowpane flounder","Northeast","Pleuronectiformes (Flatfishes) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"765","Scyliorhinus retifer","Chain catshark","Northeast",NA,NA,NA,NA,"Not for IDW"
"766","Sebastes fasciatus","Acadian redfish","Northeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"767","Selene setapinnis","Atlantic moonfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"768","Sphoeroides maculatus","Northern puffer","Northeast",NA,NA,NA,NA,"Not for IDW"
"769","Squalus acanthias","Spiny dogfish","Northeast","Elasmobranchi:Selachi (sharks)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"770","Squalus acanthias","Spiny dogfish","Northeast","Elasmobranchi:Selachi (sharks)","US East Coast","MAFMC","Spiny Dogfish","NMFS/Rutgers IDW Interpolation"
"771","Squalus acanthias","Spiny dogfish","Northeast","Elasmobranchi:Selachi (sharks)","US East Coast","NEFMC","Spiny Dogfish","NMFS/Rutgers IDW Interpolation"
"772","Stenotomus chrysops","Scup","Northeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","ASMFC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"773","Stenotomus chrysops","Scup","Northeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"774","Synodus foetens","Inshore lizardfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"775","Tautogolabrus adspersus","Cunner","Northeast",NA,NA,NA,NA,"Not for IDW"
"776","Trachurus lathami","Rough scad","Northeast",NA,NA,NA,NA,"Not for IDW"
"777","Trichiurus lepturus","Atlantic cutlassfish","Northeast",NA,NA,NA,NA,"Not for IDW"
"778","Urophycis chuss","Red hake","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"779","Urophycis regia","Spotted hake","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"780","Urophycis tenuis","White hake","Northeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"781","Zenopsis conchifer","Silvery john dory","Northeast",NA,NA,NA,NA,"Not for IDW"
"782","Zoarces americanus","Ocean pout","Northeast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US East Coast","NEFMC","Northeast Multispecies","NMFS/Rutgers IDW Interpolation"
"783","Crangon septemspinosa","Sevenspine bay shrimp","Northeast",NA,NA,NA,NA,"Not for IDW"
"784","Etropus microstomus","Smallmouth flounder","Northeast",NA,NA,NA,NA,"Not for IDW"
"785","Lebbeus polaris","Polar lebbeid","Northeast",NA,NA,NA,NA,"Not for IDW"
"786","Menidia menidia","Atlantic silverside","Northeast",NA,NA,NA,NA,"Not for IDW"
"787","Acanthostracion quadricornis","Scrawled cowfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"788","Achelous gibbesii","Iridescent swimming crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"789","Achelous spinimanus","Blotched swimming crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"790","Aetobatus narinari","Spotted eagle ray","Southeast",NA,NA,NA,NA,"Not for IDW"
"791","Alosa aestivalis","Blueback herring","Southeast",NA,NA,NA,NA,"Not for IDW"
"792","Aluterus schoepfii","Orange filefish","Southeast",NA,NA,NA,NA,"Not for IDW"
"793","Anchoa spp.","Anchovies","Southeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"794","Ancylopsetta quadrocellata","Ocellated flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"795","Archosargus probatocephalus","Sheepshead","Southeast",NA,NA,NA,NA,"Not for IDW"
"796","Arenaeus cribrarius","Speckled swimming crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"797","Ariopsis felis","Hardhead catfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"798","Bagre marinus","Gafftopsail catfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"799","Bairdiella chrysoura","Silver perch","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"800","Bathytoshia centroura","Roughtail stingray","Southeast",NA,NA,NA,NA,"Not for IDW"
"801","Brevoortia smithi","Yellowfin menhaden","Southeast",NA,NA,NA,NA,"Not for IDW"
"802","Brevoortia tyrannus","Atlantic menhaden","Southeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"803","Calamus leucosteus","Whitebone porgy","Southeast",NA,NA,NA,NA,"Not for IDW"
"804","Calappa flammea","Flame box crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"805","Callinectes ornatus","Shelling crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"806","Callinectes sapidus","Blue crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"807","Callinectes similis","Lesser blue crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"808","Caranx crysos","Blue runner","Southeast","Carangiformes (Jacks)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"809","Caranx hippos","Crevalle jack","Southeast",NA,NA,NA,NA,"Not for IDW"
"810","Carcharhinus acronotus","Blacknose shark","Southeast",NA,NA,NA,NA,"Not for IDW"
"811","Carcharhinus limbatus","Blacktip shark","Southeast",NA,NA,NA,NA,"Not for IDW"
"812","Centropristis philadelphica","Rock sea bass","Southeast","Perciformes/Serranoidei (Groupers)","US East Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"813","Centropristis striata","Black sea bass","Southeast","Perciformes/Serranoidei (Groupers)","US East Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"814","Chaetodipterus faber","Atlantic spadefish","Southeast","Acanthuriformes (Surgeonfishes)","US East Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"815","Charybdis (Charybdis) hellerii","Spiny hands","Southeast",NA,NA,NA,NA,"Not for IDW"
"816","Chilomycterus schoepfii","Striped burrfish","Southeast","Tetraodontiformes (puffers and filefishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"817","Chloroscombrus chrysurus","Atlantic bumper","Southeast","Carangiformes (Jacks)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"818","Citharichthys macrops","Spotted whiff","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"819","Citharichthys spilopterus","Bay whiff","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"820","Cynoscion nebulosus","Spotted weakfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"821","Cynoscion nothus","Silver seatrout","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"822","Cynoscion regalis","Weakfish","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"823","Cynoscion regalis","Weakfish","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"824","Decapterus punctatus","Round scad","Southeast",NA,NA,NA,NA,"Not for IDW"
"825","Diplectrum formosum","Sand perch","Southeast",NA,NA,NA,NA,"Not for IDW"
"826","Doryteuthis sp","Inshore Squid sp.","Southeast","Cephalopoda (squid, octopus)","US East Coast","SAFMC","","NMFS/Rutgers IDW Interpolation"
"827","Echeneis naucrates","Sharksucker","Southeast",NA,NA,NA,NA,"Not for IDW"
"828","Etropus crossotus","Fringed flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"829","Etropus cyclosquamus","Shelf flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"830","Eucinostomus spp.","Mojarras","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"831","Gibbesia neglecta","Lesser mantis shrimp","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"832","Gymnachirus melas","Naked sole","Southeast",NA,NA,NA,NA,"Not for IDW"
"833","Gymnura altavela","Spiny butterfly ray","Southeast",NA,NA,NA,NA,"Not for IDW"
"834","Gymnura micrura","Smooth butterfly ray","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"835","Harengula jaguana","Scaled sardine","Southeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"836","Hepatus epheliticus","Calico box crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"837","Hippocampus erectus","Lined seahorse","Southeast",NA,NA,NA,NA,"Not for IDW"
"838","Hypanus americanus","Southern stingray","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"839","Hypanus sabinus","Atlantic stingray","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"840","Hypanus say","Bluntnose stingray","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"841","Lagocephalus laevigatus","Smooth puffer","Southeast",NA,NA,NA,NA,"Not for IDW"
"842","Lagodon rhomboides","Pinfish","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"843","Larimus fasciatus","Banded drum","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"844","Leiostomus xanthurus","Spot","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"845","Lepidochelys kempii","Kemp's ridley turtle","Southeast",NA,NA,NA,NA,"Not for IDW"
"846","Limulus polyphemus","Horseshoe crab","Southeast","Xiphosura (horseshoe crabs)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"847","Lolliguncula brevis","Atlantic brief squid","Southeast","Cephalopoda (squid, octopus)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"848","Lutjanus synagris","Lane snapper","Southeast",NA,NA,NA,NA,"Not for IDW"
"849","Menippe mercenaria","Florida stone crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"850","Menticirrhus americanus","Southern kingfish","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"851","Menticirrhus littoralis","Gulf kingfish","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"852","Menticirrhus saxatilis","Northern kingfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"853","Micropogonias undulatus","Atlantic croaker","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"854","Mobula hypostoma","Devil ray","Southeast",NA,NA,NA,NA,"Not for IDW"
"855","Mugil curema","White mullet","Southeast",NA,NA,NA,NA,"Not for IDW"
"856","Myliobatis freminvillei","Bullnose eagle ray","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"857","Narcine brasiliensis","Brazilian electric ray","Southeast",NA,NA,NA,NA,"Not for IDW"
"858","Octopus vulgaris","Common octopus","Southeast",NA,NA,NA,NA,"Not for IDW"
"859","Ogcocephalus cubifrons",NA,"Southeast",NA,NA,NA,NA,"Not for IDW"
"860","Ogcocephalus rostellum","Palefin batfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"861","Opisthonema oglinum","Atlantic thread herring","Southeast","Clupeiformes (Herrings, anchovy, shad)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"862","Orthopristis chrysoptera","Pigfish","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"863","Ovalipes ocellatus","Ocellate lady crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"864","Ovalipes stephensoni","Coarsehand lady crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"865","Pagurus longicarpus","Longwrist hermit crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"866","Pagurus pollicaris","Gray hermit crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"867","Paralichthys albigutta","Gulf flounder","Southeast",NA,NA,NA,NA,"Not for IDW"
"868","Paralichthys dentatus","Summer flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","ASMFC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"869","Paralichthys dentatus","Summer flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NMFS/Rutgers IDW Interpolation"
"870","Paralichthys lethostigma","Southern flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"871","Penaeus aztecus","Brown shrimp","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","SAFMC","Shrimp Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"872","Penaeus duorarum","Pink shrimp","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","SAFMC","Shrimp Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"873","Penaeus setiferus","Northern white shrimp","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","SAFMC","Shrimp Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"874","Peprilus paru","Harvestfish","Southeast","Scombriformes (Mackerels)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"875","Peprilus triacanthus","American butterfish","Southeast","Scombriformes (Mackerels)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"876","Persephona mediterranea","Mottled purse crab","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"877","Pilumnus sayi","Spineback hairy crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"878","Pogonias cromis","Black drum","Southeast",NA,NA,NA,NA,"Not for IDW"
"879","Pomatomus saltatrix","Bluefish","Southeast","Scombriformes (Mackerels)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"880","Porcellana sigsbeiana","Striped porcelain crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"881","Portunus sayi","Sargassum swimming crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"882","Prionotus carolinus","Northern searobin","Southeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"883","Prionotus evolans","Striped searobin","Southeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"884","Prionotus rubio","Blackwing searobin","Southeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"885","Prionotus scitulus","Leopard searobin","Southeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"886","Prionotus tribulus","Bighead searobin","Southeast","Perciformes/Scorpaenoidei (Scorpionfishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"887","Pseudobatos lentiginosus","Atlantic guitarfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"888","Rachycentron canadum","Cobia","Southeast",NA,NA,NA,NA,"Not for IDW"
"889","Rhinoptera bonasus","Cownose ray","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"890","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Southeast","Elasmobranchi:Selachi (sharks)","US East Coast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","NMFS/Rutgers IDW Interpolation"
"891","Rimapenaeus constrictus","Roughneck shrimp","Southeast",NA,NA,NA,NA,"Not for IDW"
"892","Rostroraja eglanteria","Clearnose skate","Southeast","Elasmobranchi:Batoidea (skates, rays) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"893","Sardinella aurita","Spanish sardine","Southeast",NA,NA,NA,NA,"Not for IDW"
"894","Scomberomorus cavalla","King mackerel","Southeast","Scombriformes (Mackerels)","US East Coast","GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","NMFS/Rutgers IDW Interpolation"
"895","Scomberomorus cavalla","King mackerel","Southeast","Scombriformes (Mackerels)","US East Coast","SAFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","NMFS/Rutgers IDW Interpolation"
"896","Scomberomorus maculatus","Spanish mackerel","Southeast","Scombriformes (Mackerels)","US East Coast","ASMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"897","Scomberomorus maculatus","Spanish mackerel","Southeast","Scombriformes (Mackerels)","US East Coast","GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","NMFS/Rutgers IDW Interpolation"
"898","Scomberomorus maculatus","Spanish mackerel","Southeast","Scombriformes (Mackerels)","US East Coast","SAFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","NMFS/Rutgers IDW Interpolation"
"899","Scophthalmus aquosus","Windowpane flounder","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"900","Selene setapinnis","Atlantic moonfish","Southeast","Carangiformes (Jacks)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"901","Selene vomer","Lookdown","Southeast","Carangiformes (Jacks)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"902","Sphoeroides maculatus","Northern puffer","Southeast","Tetraodontiformes (puffers and filefishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"903","Sphyraena guachancho","Guachanche barracuda","Southeast","Carangaria (barracuda)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"904","Sphyrna lewini","Scalloped hammerhead","Southeast",NA,NA,NA,NA,"Not for IDW"
"905","Sphyrna tiburo","Bonnethead","Southeast","Elasmobranchi:Selachi (sharks)","US East Coast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","NMFS/Rutgers IDW Interpolation"
"906","Squilla empusa","Mantis shrimp","Southeast","Stomatopoda (mantis shrimp)","US East Coast","SAFMC","Shrimp Fishery of the South Atlantic Region","NMFS/Rutgers IDW Interpolation"
"907","Stellifer lanceolatus","Star drum","Southeast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"908","Stephanolepis hispida","Planehead filefish","Southeast","Tetraodontiformes (puffers and filefishes)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"909","Stomolophus meleagris","Cannonball jellyfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"910","Syacium papillosum","Dusky flounder","Southeast",NA,NA,NA,NA,"Not for IDW"
